REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2020/10/01 00:30:00,4670.4,39.09,TRADE
VIC1,2020/10/01 01:00:00,4513.84,38.39,TRADE
VIC1,2020/10/01 01:30:00,4329.71,36.46,TRADE
VIC1,2020/10/01 02:00:00,4146.21,35.79,TRADE
VIC1,2020/10/01 02:30:00,4003.9,33.65,TRADE
VIC1,2020/10/01 03:00:00,3883.99,30.36,TRADE
VIC1,2020/10/01 03:30:00,3803.84,30.90,TRADE
VIC1,2020/10/01 04:00:00,3845.66,30.58,TRADE
VIC1,2020/10/01 04:30:00,3901.61,32.11,TRADE
VIC1,2020/10/01 05:00:00,3962.77,34.37,TRADE
VIC1,2020/10/01 05:30:00,4159.89,37.33,TRADE
VIC1,2020/10/01 06:00:00,4349.67,39.94,TRADE
VIC1,2020/10/01 06:30:00,4652.33,50.23,TRADE
VIC1,2020/10/01 07:00:00,4785.24,41.63,TRADE
VIC1,2020/10/01 07:30:00,4840.02,40,TRADE
VIC1,2020/10/01 08:00:00,4886.21,40.05,TRADE
VIC1,2020/10/01 08:30:00,4823.65,40.01,TRADE
VIC1,2020/10/01 09:00:00,4677.42,32.87,TRADE
VIC1,2020/10/01 09:30:00,4555.65,33.99,TRADE
VIC1,2020/10/01 10:00:00,4388.46,27.51,TRADE
VIC1,2020/10/01 10:30:00,4177.25,28.85,TRADE
VIC1,2020/10/01 11:00:00,4075.69,11.22,TRADE
VIC1,2020/10/01 11:30:00,3982.4,3.83,TRADE
VIC1,2020/10/01 12:00:00,3995.01,8.78,TRADE
VIC1,2020/10/01 12:30:00,3960.07,6.03,TRADE
VIC1,2020/10/01 13:00:00,3874.91,4.18,TRADE
VIC1,2020/10/01 13:30:00,3732.48,-6.31,TRADE
VIC1,2020/10/01 14:00:00,3709.51,-35.29,TRADE
VIC1,2020/10/01 14:30:00,3686.05,-36.66,TRADE
VIC1,2020/10/01 15:00:00,3717.91,-35.03,TRADE
VIC1,2020/10/01 15:30:00,3772.59,-28.05,TRADE
VIC1,2020/10/01 16:00:00,3965.82,-6.56,TRADE
VIC1,2020/10/01 16:30:00,4191.31,23.48,TRADE
VIC1,2020/10/01 17:00:00,4441.26,35.02,TRADE
VIC1,2020/10/01 17:30:00,4806.06,37.09,TRADE
VIC1,2020/10/01 18:00:00,5098.44,42.96,TRADE
VIC1,2020/10/01 18:30:00,5345.9,142.76,TRADE
VIC1,2020/10/01 19:00:00,5536.92,182.55,TRADE
VIC1,2020/10/01 19:30:00,5547.56,58.87,TRADE
VIC1,2020/10/01 20:00:00,5404.33,50.68,TRADE
VIC1,2020/10/01 20:30:00,5277.41,43.63,TRADE
VIC1,2020/10/01 21:00:00,5145.51,38.60,TRADE
VIC1,2020/10/01 21:30:00,5032.58,35.96,TRADE
VIC1,2020/10/01 22:00:00,4904.25,35.13,TRADE
VIC1,2020/10/01 22:30:00,4715.23,38.35,TRADE
VIC1,2020/10/01 23:00:00,4566.56,34.12,TRADE
VIC1,2020/10/01 23:30:00,4636.28,35.24,TRADE
VIC1,2020/10/02 00:00:00,4682.82,34.44,TRADE
VIC1,2020/10/02 00:30:00,4497.31,19.77,TRADE
VIC1,2020/10/02 01:00:00,4320.44,33.97,TRADE
VIC1,2020/10/02 01:30:00,4209.87,13.81,TRADE
VIC1,2020/10/02 02:00:00,3968.8,-30.15,TRADE
VIC1,2020/10/02 02:30:00,3828.49,-38.51,TRADE
VIC1,2020/10/02 03:00:00,3744.76,-38.73,TRADE
VIC1,2020/10/02 03:30:00,3660.92,-41.59,TRADE
VIC1,2020/10/02 04:00:00,3644.5,-43.50,TRADE
VIC1,2020/10/02 04:30:00,3628.73,-41.75,TRADE
VIC1,2020/10/02 05:00:00,3656.66,-42.12,TRADE
VIC1,2020/10/02 05:30:00,3803.68,-38.70,TRADE
VIC1,2020/10/02 06:00:00,3966.13,-37,TRADE
VIC1,2020/10/02 06:30:00,4265.33,-13.46,TRADE
VIC1,2020/10/02 07:00:00,4416.97,-1.09,TRADE
VIC1,2020/10/02 07:30:00,4397.97,-8.09,TRADE
VIC1,2020/10/02 08:00:00,4425.3,-20.61,TRADE
VIC1,2020/10/02 08:30:00,4317.78,-1.07,TRADE
